,Company,Location,Salary,Summary,Title,Job Category
866,UPMC,"Pittsburgh, PA 15205",Not available,Predict future inventory needs and provide business intelligence to upper management. Responsible for developing and maintaining target inventory levels by SKU...,Inventory Analyst,Other
870,Red Ventures,"Charlotte, NC",Not available,"Collaborate closely with all areas of the business (Product, SEO, Performance Marketing, Business Development, Social, Email, Sales, Marketing, Finance, Display...",BI Analyst,Other
873,Sawdey Solution Services,"Hālawa, HI",Not available,"Certified as a Small Disadvantaged Business. Based in Dayton, Ohio since 2001, Sawdey Solution Services is a Woman Owned/Service-Disabled Veteran-Owned Small...","Intelligence Analyst_Camp H.M.Smith, HI",Other
875,Texperts,"Vienna, VA",Not available,Looking for a Business Intelligence Analyst to support operations and planning. Ability to manage complex business processes....,BI Analyst,Other
876,Cision US,"Jersey City, NJ",Not available,"Business Intelligence/Competitive Intelligence. Bulletin Intelligence, Remote- U.S. Bulletin Intelligence and Cision are Equal Opportunity Employers....",Analyst,Other
884,The Coca-Cola Company,"Atlanta, GA 30301 (Buckhead area)",Not available,Business Intelligence (BI) tools. IT business system analysis/integration. Experience translating between business and IT concepts and teams....,Process and Performance Analyst,Other
886,Obsidian Solutions Group,"Arlington, VA",Not available,Intelligence Analyst I (TOG) Part Time. Produce current crisis and term intelligence assessments on international security issues....,Intelligence Analyst I (TOG) Part Time,Other
887,Life Work Search,"Evansville, IN",Not available,Lead the business intelligence tool implementation; Identify and collect business intelligence data to help make strategic decisions;...,BI Analyst,Other
888,Bank of America,"Charlotte, NC 28255 (Wilmore area)",Not available,"Good understanding of data gathering tools, proficient with business intelligence reporting tools, 5+ years of experience....",Client Reporting Senior Analyst,Other
894,Analogic,"Peabody, MA 01960",Not available,Business Intelligence Analyst with publication of standardized reports to business stakeholders. BK Medical is looking for a CRM Analyst/ BI to join the...,CRM/ BI Analyst,Other
897,QUICK SERVICES LLC,United States,Not available,Accesses and performs research on designated automated intelligence. Proficient in utilizing basic computer applications and intelligence related....,Mid Tactical Intelligence Analyst,Other
906,BTAS,"San Antonio, TX",Not available,"Intelligence Analyst, Mid-Level. 10 years’ experience as an Intelligence Analyst, Cyber or Signals Intelligence (SIGINT) focus....",Intelligence Analyst,Other
919,U.S. Army,"Fort Worth, TX 76132 (Wedgwood area)","$30,000 - $60,000 a year","\* Before Reading Below, This is NOT a Civilian position. This is an opportunity to serve in the Active Duty Army (Full-Time) \* Must have a GED, be a High...",Cryptologic Cyberspace Intelligence Analyst,Other
921,National Football League,"New York, NY 10017 (Midtown area)",Not available,The Senior Intelligence Analyst will have primary responsibility for intelligence support and information dissemination to the leadership of the NFL....,Senior Intelligence Analyst,Other
922,Nordstrom,"Seattle, WA",Not available,"As an integral part of a new Corporate Analytics team, the Senior Business Intelligence Analyst is responsible for collecting, analyzing and presenting data to...",Bus Intel Analyst Sr,Other
924,Orlando Utilities Commission,"Orlando, FL","$88,272 - $115,858 a year","Business intelligence or analytics certifications are a plus (i.e., Certified Business Intelligence Professional (CBIP), or other recognized certification or...",Corporate Strategy Analyst,Other
925,GLS,"Charlotte, NC 28273 (Olde Whitehall area)",Not available,"Company Overview GLS, established in 1998, is a quickly-expanding managed service provider. The GLS Service Management Department works as advocates for our...",Reporting Analyst,Other
928,LGS Innovations LLC,"Dayton, OH 45390",Not available,Demonstrated knowledge of Military Intelligence. Under general supervision provide intelligence analysis. Support for multi-spectral exploitation and remote....,Multi-Spectral Intelligence Analyst,Other
933,Great American Insurance Group,"Cincinnati, OH",Not available,Prior work experience in business intelligence type function a plus. Critical thinking skills and strong business acumen....,Market Intelligence Analyst,Other
935,Adobe,"Los Angeles, CA",Not available,"Use available tools (Google Analytics, AppDynamics, SQL, Magento Business Intelligence, etc.). Business & technical)....",eCommerce Strategy Consultant,Other
938,Omnicell,"Cranberry Township, PA","$80,000 - $90,000 a year","Decision Support Analyst, Sales*. 4+ years of experience in business intelligence, data analytics, data science, computer science or related field....",Decision Support Analyst,Other
940,CACI,"McLean, VA 22102",Not available,"Experience in MS Office suite, Analyst Notebook, and Intelligence Community Counterterrorism Databases. As a Watchlist Intelligence Analyst, you will receive,...",Intelligence Analyst 1,Other
942,Booz Allen Hamilton,"Buckley AFB, CO",Not available,"SIGINT Intelligence Analyst. Support operational performance evaluations and assessments of SIGINT collection, processing, and forwarding systems....",SIGINT Intelligence Analyst,Other
953,"National Technologies Associates, Inc.","Fort Meade, MD",Not available,"Signature Reduction Intelligence Analyst. Bachelor’s degree and/or 4 years of intelligence analyst experience, at a minimum....",Signature Reduction Intelligence Analyst,Other
955,Shipt,"Birmingham, AL 35203",Not available,"Experience with a Business Intelligence tool is required (e.g., Chartio, Tableau). Experience with hypothesis testing in a business setting is a plus....",Product Analyst,Other
958,SAIC,"Fort Bliss, TX",Not available,"SAIC is currently seeking an OSINT Intelligence Analyst who provides analysis services for INSCOM, Army OSINT Office in support of ongoing intelligence...","Open Source Intelligence (OSINT) Analyst / Trainer, Ft. Blis...",Other
7,Bed Bath & Beyond,"Totowa, NJ 07512",Not available,The analyst will be responsible for data gathering as well as reporting and analysis. Identify data trends for all operational categories....,Junior Reporting Analyst- Operations,Other
20,Sony Music Entertainment,"Rutherford, NJ",Not available,"The Metadata Analyst, Central Repertoire and Metadata Support Group responsibilities may include, but will not be limited to:....",Metadata Analyst,Other
28,Samsung Electronics,"Ridgefield Park, NJ",Not available,Input promotion data into GSBN for forecast and promotions managers. Analyze sellout data and compare against previous forecasts – investigate out-of-stocks....,Category Analyst,Other
32,TripAdvisor,"Las Vegas, NV",Not available,"Real Time Analyst. The Real Time Analyst is also responsible for tracking attrition, absenteeism, and unproductive hours....",Real Time Analyst,Other
34,Express Scripts,"Franklin Lakes, NJ 07417",Not available,The Pricing Analyst will also provide pricing support for all ad hoc analyses (i.e. The Pricing Analyst will develop client-specific pricing strategies with...,Pricing Analyst,Other
41,JP Morgan Chase,"Wilmington, DE 19801",Not available,"The analyst will identify complaint drivers using data captured in complaint records and data pertinent to customer accounts, relationships, product ownership,...",Complaint Trends and Insights Analyst,Other
43,Wayfair,"Horseheads, NY",Not available,"Strong written and verbal communication skills, including data presentation. Work closely with Scheduling and Forecasting Analysts providing real-time trending...",Entry-Level Real Time Analyst,Other
45,Unilever,"Englewood Cliffs, NJ",Not available,Unilever is looking for a Sales Operations Analyst to leverage identify and unlock opportunities for growth through data driven insights....,Sales Analyst,Other
50,Energy Services Group International,"New Orleans, LA",$55 - $65 an hour,"$55 - $65 an hour


                            Must have 5 years Analyst Experience. Experience in working with large volumes of data in spreadsheets/databases, tracking data, building dashboards, charts,...",Metrics Analyst,Other
58,Bed Bath & Beyond,"Union, NJ 07083",Not available,"Markdown Analysts are responsible for providing Merchant Teams the analytics, data and information necessary to drive optimal inventory clearance....",Markdown Analyst,Other
60,Promotion In Motion,"Allendale, NJ 07401",Not available,Knowledge of procedural controls and data validation techniques. Analyzes current and past financial data and performance to make recommendations on profit...,Financial Analyst,Other
